['0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11', '0.05:-0.31:0.09', '0.14:0.38:0.05', '0.14:-0.19:0.30']['1:2:0', '2:2:1']
['0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11', '0.05:-0.31:0.09', '0.14:0.38:0.05', '0.14:-0.19:0.30', '0.00:-0.34:0.14']['2:2:1', '0:1:2']
['0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11', '0.05:-0.31:0.09', '0.14:0.38:0.05', '0.14:-0.19:0.30', '0.00:-0.34:0.14', '0.03:-0.20:0.18']['0:1:2', '2:-1:2']
['0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11', '0.05:-0.31:0.09', '0.14:0.38:0.05', '0.14:-0.19:0.30', '0.00:-0.34:0.14', '0.03:-0.20:0.18', '0.01:0.03:0.47']['2:-1:2', '2:2:1']
['0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11', '0.05:-0.31:0.09', '0.14:0.38:0.05', '0.14:-0.19:0.30', '0.00:-0.34:0.14', '0.03:-0.20:0.18', '0.01:0.03:0.47', '0.14:0.44:0.00']['2:2:1', '2:-3:2']
['0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11', '0.05:-0.31:0.09', '0.14:0.38:0.05', '0.14:-0.19:0.30', '0.00:-0.34:0.14', '0.03:-0.20:0.18', '0.01:0.03:0.47', '0.14:0.44:0.00', '0.09:0.11:0.00']['2:-3:2', '2:-3:2']
['0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11', '0.05:-0.31:0.09', '0.14:0.38:0.05', '0.14:-0.19:0.30', '0.00:-0.34:0.14', '0.03:-0.20:0.18', '0.01:0.03:0.47', '0.14:0.44:0.00', '0.09:0.11:0.00', '0.05:-0.29:0.07']['2:-3:2', '1:2:2']
['0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11', '0.05:-0.31:0.09', '0.14:0.38:0.05', '0.14:-0.19:0.30', '0.00:-0.34:0.14', '0.03:-0.20:0.18', '0.01:0.03:0.47', '0.14:0.44:0.00', '0.09:0.11:0.00', '0.05:-0.29:0.07', '0.00:-0.67:0.38']['1:2:2', '0:1:0']
['0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11', '0.05:-0.31:0.09', '0.14:0.38:0.05', '0.14:-0.19:0.30', '0.00:-0.34:0.14', '0.03:-0.20:0.18', '0.01:0.03:0.47', '0.14:0.44:0.00', '0.09:0.11:0.00', '0.05:-0.29:0.07', '0.00:-0.67:0.38', '0.10:0.21:0.02']['0:1:0', '0:0:0']
['0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04', '0.00:0.10:0.05', '0.01:-0.18:0.02', '0.13:0.01:0.00', '0.01:-0.06:0.07', '0.02:-0.01:0.08', '0.00:0.21:0.06', '0.09:-0.16:0.16', '0.02:-0.17:0.11', '0.05:-0.31:0.09', '0.14:0.38:0.05', '0.14:-0.19:0.30', '0.00:-0.34:0.14', '0.03:-0.20:0.18', '0.01:0.03:0.47', '0.14:0.44:0.00', '0.09:0.11:0.00', '0.05:-0.29:0.07', '0.00:-0.67:0.38', '0.10:0.21:0.02', '0.28:-0.01:0.20']['0:0:0', '0:0:0']
