['0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002']['2:-3:1', '1:-1:1']
['0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002', '0.0024:0.0:0.0018']['1:-1:1', '2:3:1']
['0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002', '0.0024:0.0:0.0018', '0.0003:0.0044:0.0005']['2:3:1', '2:2:1']
['0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002', '0.0024:0.0:0.0018', '0.0003:0.0044:0.0005', '0.0009:-0.0005:0.0009']['2:2:1', '0:3:1']
['0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002', '0.0024:0.0:0.0018', '0.0003:0.0044:0.0005', '0.0009:-0.0005:0.0009', '0.0017:-0.0015:0.0006']['0:3:1', '1:-3:0']
['0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002', '0.0024:0.0:0.0018', '0.0003:0.0044:0.0005', '0.0009:-0.0005:0.0009', '0.0017:-0.0015:0.0006', '0.0006:0.0031:0.0008']['1:-3:0', '1:3:0']
['0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002', '0.0024:0.0:0.0018', '0.0003:0.0044:0.0005', '0.0009:-0.0005:0.0009', '0.0017:-0.0015:0.0006', '0.0006:0.0031:0.0008', '0.0015:0.0034:0.0021']['1:3:0', '2:-2:2']
['0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002', '0.0024:0.0:0.0018', '0.0003:0.0044:0.0005', '0.0009:-0.0005:0.0009', '0.0017:-0.0015:0.0006', '0.0006:0.0031:0.0008', '0.0015:0.0034:0.0021', '0.0003:-0.0072:0.0005']['2:-2:2', '2:2:2']
['0.0013:-0.0006:0.0018', '0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002', '0.0024:0.0:0.0018', '0.0003:0.0044:0.0005', '0.0009:-0.0005:0.0009', '0.0017:-0.0015:0.0006', '0.0006:0.0031:0.0008', '0.0015:0.0034:0.0021', '0.0003:-0.0072:0.0005', '0.001:-0.0011:0.0006']['2:2:2', '2:-2:1']
['0.0003:0.0013:0.0005', '0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002', '0.0024:0.0:0.0018', '0.0003:0.0044:0.0005', '0.0009:-0.0005:0.0009', '0.0017:-0.0015:0.0006', '0.0006:0.0031:0.0008', '0.0015:0.0034:0.0021', '0.0003:-0.0072:0.0005', '0.001:-0.0011:0.0006', '0.0033:0.0002:0.0007']['2:-2:1', '1:3:2']
['0.0003:0.0:0.0008', '0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002', '0.0024:0.0:0.0018', '0.0003:0.0044:0.0005', '0.0009:-0.0005:0.0009', '0.0017:-0.0015:0.0006', '0.0006:0.0031:0.0008', '0.0015:0.0034:0.0021', '0.0003:-0.0072:0.0005', '0.001:-0.0011:0.0006', '0.0033:0.0002:0.0007', '0.0007:-0.0055:0.002']['1:3:2', '1:-3:1']
['0.0004:0.0:0.0007', '0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002', '0.0024:0.0:0.0018', '0.0003:0.0044:0.0005', '0.0009:-0.0005:0.0009', '0.0017:-0.0015:0.0006', '0.0006:0.0031:0.0008', '0.0015:0.0034:0.0021', '0.0003:-0.0072:0.0005', '0.001:-0.0011:0.0006', '0.0033:0.0002:0.0007', '0.0007:-0.0055:0.002', '0.0003:-0.0032:0.0003']['1:-3:1', '2:-3:2']
['0.0001:0.0002:0.0005', '0.0009:-0.0014:0.0011', '0.0002:0.0025:0.0009', '0.0004:0.0026:0.0008', '0.0006:0.0:0.0003', '0.0025:-0.0005:0.0007', '0.0003:-0.0036:0.0012', '0.0023:-0.003:0.002', '0.0024:0.0:0.0018', '0.0003:0.0044:0.0005', '0.0009:-0.0005:0.0009', '0.0017:-0.0015:0.0006', '0.0006:0.0031:0.0008', '0.0015:0.0034:0.0021', '0.0003:-0.0072:0.0005', '0.001:-0.0011:0.0006', '0.0033:0.0002:0.0007', '0.0007:-0.0055:0.002', '0.0003:-0.0032:0.0003', '0.0013:-0.0007:0.0007']['2:-3:2', '2:1:2']
