['0.003:0.0018:0.0043', '0.0025:-0.0018:0.0122', '0.007:-0.001:0.004', '0.0042:-0.0052:0.0104', '0.0038:-0.0039:0.0045', '0.002:0.0032:0.0018', '0.0027:-0.0093:0.0065', '0.0039:-0.008:0.0034', '0.0059:-0.0024:0.0033', '0.0059:0.0215:0.0009']['2:-3:2', '2:-2:2']
['0.0025:-0.0018:0.0122', '0.007:-0.001:0.004', '0.0042:-0.0052:0.0104', '0.0038:-0.0039:0.0045', '0.002:0.0032:0.0018', '0.0027:-0.0093:0.0065', '0.0039:-0.008:0.0034', '0.0059:-0.0024:0.0033', '0.0059:0.0215:0.0009', '0.0064:0.005:0.001']['2:-2:2', '2:-3:2']
['0.007:-0.001:0.004', '0.0042:-0.0052:0.0104', '0.0038:-0.0039:0.0045', '0.002:0.0032:0.0018', '0.0027:-0.0093:0.0065', '0.0039:-0.008:0.0034', '0.0059:-0.0024:0.0033', '0.0059:0.0215:0.0009', '0.0064:0.005:0.001', '0.0016:-0.0078:0.0019']['2:-3:2', '2:3:1']
['0.0042:-0.0052:0.0104', '0.0038:-0.0039:0.0045', '0.002:0.0032:0.0018', '0.0027:-0.0093:0.0065', '0.0039:-0.008:0.0034', '0.0059:-0.0024:0.0033', '0.0059:0.0215:0.0009', '0.0064:0.005:0.001', '0.0016:-0.0078:0.0019', '0.0043:0.0022:0.0034']['2:3:1', '2:-3:2']
['0.0038:-0.0039:0.0045', '0.002:0.0032:0.0018', '0.0027:-0.0093:0.0065', '0.0039:-0.008:0.0034', '0.0059:-0.0024:0.0033', '0.0059:0.0215:0.0009', '0.0064:0.005:0.001', '0.0016:-0.0078:0.0019', '0.0043:0.0022:0.0034', '0.0048:0.0113:0.0036']['2:-3:2', '2:3:2']
['0.002:0.0032:0.0018', '0.0027:-0.0093:0.0065', '0.0039:-0.008:0.0034', '0.0059:-0.0024:0.0033', '0.0059:0.0215:0.0009', '0.0064:0.005:0.001', '0.0016:-0.0078:0.0019', '0.0043:0.0022:0.0034', '0.0048:0.0113:0.0036', '0.0098:0.0016:0.0021']['2:3:2', '2:-3:1']
['0.0027:-0.0093:0.0065', '0.0039:-0.008:0.0034', '0.0059:-0.0024:0.0033', '0.0059:0.0215:0.0009', '0.0064:0.005:0.001', '0.0016:-0.0078:0.0019', '0.0043:0.0022:0.0034', '0.0048:0.0113:0.0036', '0.0098:0.0016:0.0021', '0.0054:-0.0017:0.0074']['2:-3:1', '2:-1:2']
['0.0039:-0.008:0.0034', '0.0059:-0.0024:0.0033', '0.0059:0.0215:0.0009', '0.0064:0.005:0.001', '0.0016:-0.0078:0.0019', '0.0043:0.0022:0.0034', '0.0048:0.0113:0.0036', '0.0098:0.0016:0.0021', '0.0054:-0.0017:0.0074', '0.0:0.0235:0.0019']['2:-1:2', '2:-2:1']
['0.0059:-0.0024:0.0033', '0.0059:0.0215:0.0009', '0.0064:0.005:0.001', '0.0016:-0.0078:0.0019', '0.0043:0.0022:0.0034', '0.0048:0.0113:0.0036', '0.0098:0.0016:0.0021', '0.0054:-0.0017:0.0074', '0.0:0.0235:0.0019', '0.0017:0.0047:0.0055']['2:-2:1', '2:-3:1']
['0.0059:0.0215:0.0009', '0.0064:0.005:0.001', '0.0016:-0.0078:0.0019', '0.0043:0.0022:0.0034', '0.0048:0.0113:0.0036', '0.0098:0.0016:0.0021', '0.0054:-0.0017:0.0074', '0.0:0.0235:0.0019', '0.0017:0.0047:0.0055', '0.0011:0.0072:0.0101']['2:-3:1', '1:-3:2']
['0.0064:0.005:0.001', '0.0016:-0.0078:0.0019', '0.0043:0.0022:0.0034', '0.0048:0.0113:0.0036', '0.0098:0.0016:0.0021', '0.0054:-0.0017:0.0074', '0.0:0.0235:0.0019', '0.0017:0.0047:0.0055', '0.0011:0.0072:0.0101', '0.0007:0.0073:0.0084']['1:-3:2', '2:-3:2']
['0.0016:-0.0078:0.0019', '0.0043:0.0022:0.0034', '0.0048:0.0113:0.0036', '0.0098:0.0016:0.0021', '0.0054:-0.0017:0.0074', '0.0:0.0235:0.0019', '0.0017:0.0047:0.0055', '0.0011:0.0072:0.0101', '0.0007:0.0073:0.0084', '0.0012:-0.005:0.0083']['2:-3:2', '1:3:0']
['0.0043:0.0022:0.0034', '0.0048:0.0113:0.0036', '0.0098:0.0016:0.0021', '0.0054:-0.0017:0.0074', '0.0:0.0235:0.0019', '0.0017:0.0047:0.0055', '0.0011:0.0072:0.0101', '0.0007:0.0073:0.0084', '0.0012:-0.005:0.0083', '0.0053:-0.0051:0.0046']['1:3:0', '2:0:2']
['0.0048:0.0113:0.0036', '0.0098:0.0016:0.0021', '0.0054:-0.0017:0.0074', '0.0:0.0235:0.0019', '0.0017:0.0047:0.0055', '0.0011:0.0072:0.0101', '0.0007:0.0073:0.0084', '0.0012:-0.005:0.0083', '0.0053:-0.0051:0.0046', '0.006:0.0059:0.0049']['2:0:2', '1:-3:2']
['0.0098:0.0016:0.0021', '0.0054:-0.0017:0.0074', '0.0:0.0235:0.0019', '0.0017:0.0047:0.0055', '0.0011:0.0072:0.0101', '0.0007:0.0073:0.0084', '0.0012:-0.005:0.0083', '0.0053:-0.0051:0.0046', '0.006:0.0059:0.0049', '0.0026:0.0029:0.0027']['1:-3:2', '2:-3:2']
['0.0054:-0.0017:0.0074', '0.0:0.0235:0.0019', '0.0017:0.0047:0.0055', '0.0011:0.0072:0.0101', '0.0007:0.0073:0.0084', '0.0012:-0.005:0.0083', '0.0053:-0.0051:0.0046', '0.006:0.0059:0.0049', '0.0026:0.0029:0.0027', '0.0027:-0.0074:0.011']['2:-3:2', '2:1:2']
['0.0:0.0235:0.0019', '0.0017:0.0047:0.0055', '0.0011:0.0072:0.0101', '0.0007:0.0073:0.0084', '0.0012:-0.005:0.0083', '0.0053:-0.0051:0.0046', '0.006:0.0059:0.0049', '0.0026:0.0029:0.0027', '0.0027:-0.0074:0.011', '0.0063:0.0026:0.0064']['2:1:2', '2:3:1']
['0.0017:0.0047:0.0055', '0.0011:0.0072:0.0101', '0.0007:0.0073:0.0084', '0.0012:-0.005:0.0083', '0.0053:-0.0051:0.0046', '0.006:0.0059:0.0049', '0.0026:0.0029:0.0027', '0.0027:-0.0074:0.011', '0.0063:0.0026:0.0064', '0.0037:0.0074:0.0048']['2:3:1', '2:2:1']
['0.0011:0.0072:0.0101', '0.0007:0.0073:0.0084', '0.0012:-0.005:0.0083', '0.0053:-0.0051:0.0046', '0.006:0.0059:0.0049', '0.0026:0.0029:0.0027', '0.0027:-0.0074:0.011', '0.0063:0.0026:0.0064', '0.0037:0.0074:0.0048', '0.0024:-0.0014:0.0051']['2:2:1', '1:3:2']
['0.0007:0.0073:0.0084', '0.0012:-0.005:0.0083', '0.0053:-0.0051:0.0046', '0.006:0.0059:0.0049', '0.0026:0.0029:0.0027', '0.0027:-0.0074:0.011', '0.0063:0.0026:0.0064', '0.0037:0.0074:0.0048', '0.0024:-0.0014:0.0051', '0.0027:-0.0075:0.0058']['1:3:2', '2:2:2']
['0.0012:-0.005:0.0083', '0.0053:-0.0051:0.0046', '0.006:0.0059:0.0049', '0.0026:0.0029:0.0027', '0.0027:-0.0074:0.011', '0.0063:0.0026:0.0064', '0.0037:0.0074:0.0048', '0.0024:-0.0014:0.0051', '0.0027:-0.0075:0.0058', '0.0087:-0.0028:0.0021']['2:2:2', '1:3:2']
['0.0053:-0.0051:0.0046', '0.006:0.0059:0.0049', '0.0026:0.0029:0.0027', '0.0027:-0.0074:0.011', '0.0063:0.0026:0.0064', '0.0037:0.0074:0.0048', '0.0024:-0.0014:0.0051', '0.0027:-0.0075:0.0058', '0.0087:-0.0028:0.0021', '0.0038:-0.005:0.0051']['1:3:2', '1:3:1']
['0.006:0.0059:0.0049', '0.0026:0.0029:0.0027', '0.0027:-0.0074:0.011', '0.0063:0.0026:0.0064', '0.0037:0.0074:0.0048', '0.0024:-0.0014:0.0051', '0.0027:-0.0075:0.0058', '0.0087:-0.0028:0.0021', '0.0038:-0.005:0.0051', '0.0037:0.0109:0.0009']['1:3:1', '2:-1:2']
['0.0026:0.0029:0.0027', '0.0027:-0.0074:0.011', '0.0063:0.0026:0.0064', '0.0037:0.0074:0.0048', '0.0024:-0.0014:0.0051', '0.0027:-0.0075:0.0058', '0.0087:-0.0028:0.0021', '0.0038:-0.005:0.0051', '0.0037:0.0109:0.0009', '0.002:-0.0086:0.0036']['2:-1:2', '1:-3:2']
['0.0027:-0.0074:0.011', '0.0063:0.0026:0.0064', '0.0037:0.0074:0.0048', '0.0024:-0.0014:0.0051', '0.0027:-0.0075:0.0058', '0.0087:-0.0028:0.0021', '0.0038:-0.005:0.0051', '0.0037:0.0109:0.0009', '0.002:-0.0086:0.0036', '0.0022:0.0067:0.0068']['1:-3:2', '1:-3:2']
['0.0063:0.0026:0.0064', '0.0037:0.0074:0.0048', '0.0024:-0.0014:0.0051', '0.0027:-0.0075:0.0058', '0.0087:-0.0028:0.0021', '0.0038:-0.005:0.0051', '0.0037:0.0109:0.0009', '0.002:-0.0086:0.0036', '0.0022:0.0067:0.0068', '0.0036:-0.0043:0.0019']['1:-3:2', '2:3:2']
['0.0037:0.0074:0.0048', '0.0024:-0.0014:0.0051', '0.0027:-0.0075:0.0058', '0.0087:-0.0028:0.0021', '0.0038:-0.005:0.0051', '0.0037:0.0109:0.0009', '0.002:-0.0086:0.0036', '0.0022:0.0067:0.0068', '0.0036:-0.0043:0.0019', '0.0046:-0.0004:0.0024']['2:3:2', '2:1:2']
['0.0024:-0.0014:0.0051', '0.0027:-0.0075:0.0058', '0.0087:-0.0028:0.0021', '0.0038:-0.005:0.0051', '0.0037:0.0109:0.0009', '0.002:-0.0086:0.0036', '0.0022:0.0067:0.0068', '0.0036:-0.0043:0.0019', '0.0046:-0.0004:0.0024', '0.005:-0.0032:0.0017']['2:1:2', '2:-3:1']
['0.0027:-0.0075:0.0058', '0.0087:-0.0028:0.0021', '0.0038:-0.005:0.0051', '0.0037:0.0109:0.0009', '0.002:-0.0086:0.0036', '0.0022:0.0067:0.0068', '0.0036:-0.0043:0.0019', '0.0046:-0.0004:0.0024', '0.005:-0.0032:0.0017', '0.005:-0.0042:0.0019']['2:-3:1', '2:1:2']
['0.0087:-0.0028:0.0021', '0.0038:-0.005:0.0051', '0.0037:0.0109:0.0009', '0.002:-0.0086:0.0036', '0.0022:0.0067:0.0068', '0.0036:-0.0043:0.0019', '0.0046:-0.0004:0.0024', '0.005:-0.0032:0.0017', '0.005:-0.0042:0.0019', '0.0017:-0.0051:0.0049']['2:1:2', '2:3:1']
